algorithm,array_size,array_type,comparisons,movements,time_ms
Bubble Sort,100,1,99,0,0.001000
Cocktail Sort,100,1,99,0,0.001000
Insertion Sort,100,1,0,198,0.001000
Selection Sort,100,1,4950,0,0.011000
Shell Sort,100,1,0,1006,0.002000
Bucket Sort,100,1,198,580,0.007000
Counting Sort,100,1,100,300,0.002000
Radix Sort wBS,100,1,108,1249,0.010000
Radix Sort wCS,100,1,99,700,0.013000
Quick Sort D,100,1,942,2690,0.005000
Quick Sort P,100,1,933,2667,0.004000
Merge Sort,100,1,356,1344,0.005000
Heap Sort,100,1,1380,1923,0.008000
Bubble Sort,100,2,4950,14850,0.027000
Cocktail Sort,100,2,4950,14850,0.025000
Insertion Sort,100,2,4950,5148,0.015000
Selection Sort,100,2,4950,150,0.012000
Shell Sort,100,2,260,1266,0.004000
Bucket Sort,100,2,648,1030,0.009000
Counting Sort,100,2,100,300,0.002000
Radix Sort wBS,100,2,558,1699,0.012000
Radix Sort wCS,100,2,99,700,0.008000
Quick Sort D,100,2,785,2223,0.005000
Quick Sort P,100,2,798,2266,0.004000
Merge Sort,100,2,316,1344,0.006000
Heap Sort,100,2,1132,1551,0.007000
Bubble Sort,100,3,4940,7872,0.026000
Cocktail Sort,100,3,4047,7872,0.022000
Insertion Sort,100,3,2624,2822,0.010000
Selection Sort,100,3,4950,282,0.015000
Shell Sort,100,3,328,1334,0.006000
Bucket Sort,100,3,443,825,0.008000
Counting Sort,100,3,100,300,0.006000
Radix Sort wBS,100,3,529,1670,0.014000
Radix Sort wCS,100,3,99,700,0.005000
Quick Sort D,100,3,733,2067,0.006000
Quick Sort P,100,3,677,1901,0.006000
Merge Sort,100,3,538,1344,0.009000
Heap Sort,100,3,1262,1746,0.008000
Bubble Sort,1000,1,999,0,0.003000
Cocktail Sort,1000,1,999,0,0.002000
Insertion Sort,1000,1,0,1998,0.002000
Selection Sort,1000,1,499500,0,0.962000
Shell Sort,1000,1,0,16012,0.026000
Bucket Sort,1000,1,1998,5980,0.040000
Counting Sort,1000,1,1000,3000,0.016000
Radix Sort wBS,1000,1,21429,37350,0.175000
Radix Sort wCS,1000,1,999,9000,0.068000
Quick Sort D,1000,1,12353,35739,0.041000
Quick Sort P,1000,1,13313,38609,0.041000
Merge Sort,1000,1,5044,19952,0.058000
Heap Sort,1000,1,20416,29127,0.108000
Bubble Sort,1000,2,499500,1498500,2.524000
Cocktail Sort,1000,2,499500,1498500,2.394000
