algoritmo,tamanho_vetor,tipo_vetor,comparacoes,movimentos,tempo_ms
Bolha,100,1,4950,0,0.002000
Bolha Com Flag,100,1,99,0,0.000000
Coquetel,100,1,99,0,0.000000
Seleção,100,1,4950,0,0.003000
Inserção,100,1,99,198,0.000000
Shell Sort,100,1,405,815,0.000000
Merge Sort,100,1,316,988,0.001000
Quick Sort D,100,1,0,0,0.008000
Quick Sort P,100,1,0,0,0.003000
Heap Sort,100,1,1102,1923,0.003000
Contagem,100,1,0,299,0.001000
Balde,100,1,90,579,0.003000
Radix Sort,100,1,0,499,0.002000
Bolha,100,2,4950,0,0.002000
Bolha Com Flag,100,2,99,0,0.001000
Coquetel,100,2,99,0,0.000000
Seleção,100,2,4950,0,0.003000
Inserção,100,2,99,198,0.000000
Shell Sort,100,2,405,815,0.001000
Merge Sort,100,2,316,988,0.001000
Quick Sort D,100,2,0,0,0.008000
Quick Sort P,100,2,0,0,0.003000
Heap Sort,100,2,1102,1923,0.004000
Contagem,100,2,0,299,0.001000
Balde,100,2,90,579,0.002000
Radix Sort,100,2,0,499,0.002000
Bolha,100,3,4950,6852,0.009000
Bolha Com Flag,100,3,4944,6852,0.008000
Coquetel,100,3,3725,6852,0.008000
Seleção,100,3,4950,294,0.005000
Inserção,100,3,2381,2482,0.002000
Shell Sort,100,3,806,815,0.003000
Merge Sort,100,3,316,988,0.001000
Quick Sort D,100,3,0,0,0.003000
Quick Sort P,100,3,0,0,0.004000
Heap Sort,100,3,1042,1743,0.004000
Contagem,100,3,0,209,0.001000
Balde,100,3,342,762,0.004000
Radix Sort,100,3,0,609,0.001000
