algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo_ms
Bolha,1000,1,1,499500,0,0.243752
Bolha c/ F.,1000,1,1,999,0,0.001466
Coquetel,1000,1,1,999,0,0.001886
Selecao,1000,1,1,499500,0,0.224685
Insercao,1000,1,1,999,1998,0.001885
Shellsort,1000,1,1,6771,13542,0.006565
Mergesort,1000,1,1,4932,14908,0.010965
Quicksort,1000,1,1,16334,33150,0.054338
Heapsort,1000,1,1,17418,29124,0.039951
Contagem,1000,1,1,999,2999,0.003352
Balde,1000,1,1,1999,4999,0.026749
Radixsort C.,1000,1,1,0,18000,0.064745
Radixsort B.,1000,1,1,0,18000,0.123552
Bolha,1000,1,2,499500,0,0.243543
Bolha c/ F.,1000,1,2,999,0,0.001467
Coquetel,1000,1,2,999,0,0.001956
Selecao,1000,1,2,499500,0,0.223777
Insercao,1000,1,2,999,1998,0.001397
Shellsort,1000,1,2,6771,13542,0.006216
Mergesort,1000,1,2,4932,14908,0.010896
Quicksort,1000,1,2,16334,33150,0.050566
Heapsort,1000,1,2,17418,29124,0.040020
Contagem,1000,1,2,999,2999,0.003353
Balde,1000,1,2,1999,4999,0.026610
Radixsort C.,1000,1,2,0,18000,0.065094
Radixsort B.,1000,1,2,0,18000,0.121177
Bolha,1000,1,3,499500,0,0.239212
Bolha c/ F.,1000,1,3,999,0,0.001397
Coquetel,1000,1,3,999,0,0.001885
Selecao,1000,1,3,499500,0,0.225663
Insercao,1000,1,3,999,1998,0.001886
Shellsort,1000,1,3,6771,13542,0.006286
Mergesort,1000,1,3,4932,14908,0.010826
Quicksort,1000,1,3,16334,33150,0.050636
Heapsort,1000,1,3,17418,29124,0.040159
Contagem,1000,1,3,999,2999,0.003772
Balde,1000,1,3,1999,4999,0.030032
Radixsort C.,1000,1,3,0,18000,0.064325
Radixsort B.,1000,1,3,0,18000,0.121248
Bolha,1000,2,1,499500,1498500,0.749625
Bolha c/ F.,1000,2,1,499500,1498500,0.732513
Coquetel,1000,2,1,499500,1498500,0.844262
Selecao,1000,2,1,499500,1500,0.303748
Insercao,1000,2,1,499500,501498,0.252203
Shellsort,1000,2,1,9354,16632,0.011175
Mergesort,1000,2,1,5044,19952,0.013829
Quicksort,1000,2,1,16987,33162,0.048122
Heapsort,1000,2,1,14634,24948,0.039251
Contagem,1000,2,1,999,2000,0.003352
Balde,1000,2,1,1999,4000,0.021861
Radixsort C.,1000,2,1,0,18000,0.064885
Radixsort B.,1000,2,1,0,18000,0.149394
Bolha,1000,2,2,499500,1498500,0.804102
Bolha c/ F.,1000,2,2,499500,1498500,0.754863
Coquetel,1000,2,2,499500,1498500,0.848802
Selecao,1000,2,2,499500,1500,0.265962
Insercao,1000,2,2,499500,501498,0.239631
Shellsort,1000,2,2,9354,16632,0.011524
Mergesort,1000,2,2,5044,19952,0.013968
Quicksort,1000,2,2,16987,33162,0.047843
Heapsort,1000,2,2,14634,24948,0.039532
Contagem,1000,2,2,999,2000,0.003422
Balde,1000,2,2,1999,4000,0.022280
Radixsort C.,1000,2,2,0,18000,0.064884
Radixsort B.,1000,2,2,0,18000,0.117336
Bolha,1000,2,3,499500,1498500,0.858999
Bolha c/ F.,1000,2,3,499500,1498500,0.831969
Coquetel,1000,2,3,499500,1498500,0.845938
Selecao,1000,2,3,499500,1500,0.304166
Insercao,1000,2,3,499500,501498,0.244171
Shellsort,1000,2,3,9354,16632,0.010476
Mergesort,1000,2,3,5044,19952,0.013410
Quicksort,1000,2,3,16987,33162,0.047703
Heapsort,1000,2,3,14634,24948,0.039671
Contagem,1000,2,3,999,2000,0.003352
Balde,1000,2,3,1999,4000,0.023398
Radixsort C.,1000,2,3,0,18000,0.064604
Radixsort B.,1000,2,3,0,18000,0.124390
Bolha,1000,3,1,499500,723048,0.710582
Bolha c/ F.,1000,3,1,499122,723048,0.676848
Coquetel,1000,3,1,373749,723048,0.600231
Selecao,1000,3,1,499500,2976,0.288382
Insercao,1000,3,1,242008,243014,0.123971
Shellsort,1000,3,1,12858,20077,0.044421
Mergesort,1000,3,1,8721,19282,0.045748
Quicksort,1000,3,1,16290,33128,0.062999
Heapsort,1000,3,1,16164,27243,0.052871
Contagem,1000,3,1,999,2008,0.008101
Balde,1000,3,1,2038,4047,0.040160
Radixsort C.,1000,3,1,0,18000,0.067678
Radixsort B.,1000,3,1,0,18000,0.121876
Bolha,1000,3,2,499500,723048,0.730838
Bolha c/ F.,1000,3,2,499122,723048,0.679433
Coquetel,1000,3,2,373749,723048,0.598485
Selecao,1000,3,2,499500,2976,0.280559
Insercao,1000,3,2,242008,243014,0.123762
Shellsort,1000,3,2,12858,20077,0.043792
Mergesort,1000,3,2,8721,19282,0.041836
Quicksort,1000,3,2,16290,33128,0.062929
Heapsort,1000,3,2,16164,27243,0.053849
Contagem,1000,3,2,999,2008,0.008381
Balde,1000,3,2,2038,4047,0.040509
Radixsort C.,1000,3,2,0,18000,0.068097
