algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Bolha,10000,1,1,9999,0,0.000003
Coquetel,10000,1,1,9999,0,0.000003
Selecao,10000,1,1,49995000,0,0.025959
Insercao,10000,1,1,9999,19998,0.000006
Shellsort,10000,1,1,94222,188444,0.000086
Mergesort,10000,1,1,64608,198224,0.000106
Heapsort,10000,1,1,243914,395868,0.000462
Quicksort,10000,1,1,112045,25113,0.000073
Introsort,10000,1,1,112045,25113,0.000066
Contagem,10000,1,1,9999,29999,0.000018
Balde,10000,1,1,19999,49999,0.000358
Radixsort C.,10000,1,1,0,180000,0.000508
Radixsort B.,10000,1,1,0,180000,0.002016
Bolha,10000,1,2,9999,0,0.000003
Coquetel,10000,1,2,9999,0,0.000003
Selecao,10000,1,2,49995000,0,0.027211
Insercao,10000,1,2,9999,19998,0.000006
Shellsort,10000,1,2,94222,188444,0.000092
Mergesort,10000,1,2,64608,198224,0.000109
Heapsort,10000,1,2,243914,395868,0.000441
Quicksort,10000,1,2,112045,25113,0.000078
Introsort,10000,1,2,112045,25113,0.000070
Contagem,10000,1,2,9999,29999,0.000019
Balde,10000,1,2,19999,49999,0.000388
Radixsort C.,10000,1,2,0,180000,0.000523
Radixsort B.,10000,1,2,0,180000,0.001895
Bolha,10000,1,3,9999,0,0.000003
Coquetel,10000,1,3,9999,0,0.000003
Selecao,10000,1,3,49995000,0,0.026558
Insercao,10000,1,3,9999,19998,0.000006
Shellsort,10000,1,3,94222,188444,0.000086
Mergesort,10000,1,3,64608,198224,0.000104
Heapsort,10000,1,3,243914,395868,0.000419
Quicksort,10000,1,3,112045,25113,0.000073
Introsort,10000,1,3,112045,25113,0.000065
Contagem,10000,1,3,9999,29999,0.000018
Balde,10000,1,3,19999,49999,0.000356
Radixsort C.,10000,1,3,0,180000,0.000507
Radixsort B.,10000,1,3,0,180000,0.001750
Bolha,10000,2,1,49995000,149985000,0.057146
Coquetel,10000,2,1,49995000,149985000,0.068485
Selecao,10000,2,1,49995000,15000,0.024425
Insercao,10000,2,1,49995000,50014998,0.017427
Shellsort,10000,2,1,134551,234260,0.000133
Mergesort,10000,2,1,69008,267232,0.000149
Heapsort,10000,2,1,213394,350088,0.000416
Quicksort,10000,2,1,166180,43182,0.000104
Introsort,10000,2,1,219597,46021,0.000115
Contagem,10000,2,1,9999,20000,0.000017
Balde,10000,2,1,19999,40000,0.000394
Radixsort C.,10000,2,1,0,180000,0.000530
Radixsort B.,10000,2,1,0,180000,0.001705
Bolha,10000,2,2,49995000,149985000,0.057157
Coquetel,10000,2,2,49995000,149985000,0.066814
Selecao,10000,2,2,49995000,15000,0.023929
Insercao,10000,2,2,49995000,50014998,0.016513
Shellsort,10000,2,2,134551,234260,0.000149
Mergesort,10000,2,2,69008,267232,0.000182
Heapsort,10000,2,2,213394,350088,0.000417
Quicksort,10000,2,2,166180,43182,0.000104
Introsort,10000,2,2,219597,46021,0.000115
Contagem,10000,2,2,9999,20000,0.000017
Balde,10000,2,2,19999,40000,0.000365
Radixsort C.,10000,2,2,0,180000,0.000487
Radixsort B.,10000,2,2,0,180000,0.001697
Bolha,10000,2,3,49995000,149985000,0.056162
Coquetel,10000,2,3,49995000,149985000,0.066448
Selecao,10000,2,3,49995000,15000,0.023491
Insercao,10000,2,3,49995000,50014998,0.016928
Shellsort,10000,2,3,134551,234260,0.000132
Mergesort,10000,2,3,69008,267232,0.000149
Heapsort,10000,2,3,213394,350088,0.000416
Quicksort,10000,2,3,166180,43182,0.000104
Introsort,10000,2,3,219597,46021,0.000114
Contagem,10000,2,3,9999,20000,0.000017
Balde,10000,2,3,19999,40000,0.000362
Radixsort C.,10000,2,3,0,180000,0.000486
Radixsort B.,10000,2,3,0,180000,0.001684
Bolha,10000,3,1,49972209,75098871,0.089990
Coquetel,10000,3,1,37681797,75098871,0.069969
Selecao,10000,3,1,49995000,29958,0.025390
Insercao,10000,3,1,25042946,25052955,0.008318
Shellsort,10000,3,1,190519,289459,0.000703
Mergesort,10000,3,1,120453,259457,0.000574
Heapsort,10000,3,1,228284,372423,0.000627
Quicksort,10000,3,1,178837,95809,0.000466
Introsort,10000,3,1,155495,76713,0.000418
Contagem,10000,3,1,9999,20011,0.000166
Balde,10000,3,1,20396,40408,0.000563
Radixsort C.,10000,3,1,0,180000,0.000520
Radixsort B.,10000,3,1,0,180000,0.001877
Bolha,10000,3,2,49971129,74940090,0.091803
Coquetel,10000,3,2,37527479,74940090,0.072063
Selecao,10000,3,2,49995000,29961,0.026167
Insercao,10000,3,2,24990023,25000028,0.008513
Shellsort,10000,3,2,190845,289625,0.000566
Mergesort,10000,3,2,120377,259406,0.000543
Heapsort,10000,3,2,228484,372723,0.000594
Quicksort,10000,3,2,168365,88304,0.000426
Introsort,10000,3,2,155013,76152,0.000418
Contagem,10000,3,2,9999,20010,0.000197
Balde,10000,3,2,20386,40397,0.000558
Radixsort C.,10000,3,2,0,180000,0.000516
Radixsort B.,10000,3,2,0,180000,0.001795
Bolha,10000,3,3,49971129,74940090,0.090039
Coquetel,10000,3,3,37527479,74940090,0.070466
Selecao,10000,3,3,49995000,29961,0.025721
Insercao,10000,3,3,24990023,25000028,0.009223
Shellsort,10000,3,3,190845,289625,0.000584
Mergesort,10000,3,3,120377,259406,0.000558
Heapsort,10000,3,3,228484,372723,0.000607
Quicksort,10000,3,3,168365,88304,0.000437
Introsort,10000,3,3,155013,76152,0.000429
Contagem,10000,3,3,9999,20010,0.000169
