algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Bolha,10000,0,1,9999,0,3e-06
Coquetel,10000,0,1,9999,0,5e-06
Seleção,10000,0,1,49995000,0,0.021223
Inserção,10000,0,1,9999,19998,7e-06
Shellsort,10000,0,1,94222,188444,8.8e-05
Mergesort,10000,0,1,64608,198224,9.1e-05
Heapsort,10000,0,1,243914,395868,0.000485
Quicksort,10000,0,1,112045,25113,5.7e-05
Introsort,10000,0,1,112045,25113,5.8e-05
Contagem,10000,0,1,9999,29999,1.7e-05
Balde,10000,0,1,19999,49999,0.000262
Radixsort C.,10000,0,1,0,180000,0.000663
Radixsort B.,10000,0,1,0,180000,0.001246
Bolha,10000,0,2,9999,0,3e-06
Coquetel,10000,0,2,9999,0,5e-06
Seleção,10000,0,2,49995000,0,0.021216
Inserção,10000,0,2,9999,19998,7e-06
Shellsort,10000,0,2,94222,188444,8.8e-05
Mergesort,10000,0,2,64608,198224,9e-05
Heapsort,10000,0,2,243914,395868,0.000478
Quicksort,10000,0,2,112045,25113,5.6e-05
Introsort,10000,0,2,112045,25113,5.7e-05
Contagem,10000,0,2,9999,29999,1.9e-05
Balde,10000,0,2,19999,49999,0.000259
Radixsort C.,10000,0,2,0,180000,0.000659
Radixsort B.,10000,0,2,0,180000,0.001246
Bolha,10000,0,3,9999,0,3e-06
Coquetel,10000,0,3,9999,0,5e-06
Seleção,10000,0,3,49995000,0,0.021178
Inserção,10000,0,3,9999,19998,7e-06
Shellsort,10000,0,3,94222,188444,8.8e-05
Mergesort,10000,0,3,64608,198224,9e-05
Heapsort,10000,0,3,243914,395868,0.000494
Quicksort,10000,0,3,112045,25113,5.6e-05
Introsort,10000,0,3,112045,25113,5.8e-05
Contagem,10000,0,3,9999,29999,1.7e-05
Balde,10000,0,3,19999,49999,0.000261
Radixsort C.,10000,0,3,0,180000,0.000666
Radixsort B.,10000,0,3,0,180000,0.001237
Bolha,10000,1,1,49995000,149985000,0.085299
Coquetel,10000,1,1,49995000,149985000,0.083409
Seleção,10000,1,1,49995000,15000,0.020722
Inserção,10000,1,1,49995000,50014998,0.018426
Shellsort,10000,1,1,134551,234260,0.000128
Mergesort,10000,1,1,69008,267232,0.000171
Heapsort,10000,1,1,213394,350088,0.000482
Quicksort,10000,1,1,166180,43182,0.0001
Introsort,10000,1,1,219597,46021,0.000115
Contagem,10000,1,1,9999,20000,1.7e-05
Balde,10000,1,1,19999,40000,0.000288
Radixsort C.,10000,1,1,0,180000,0.000662
Radixsort B.,10000,1,1,0,180000,0.001241
Bolha,10000,1,2,49995000,149985000,0.084499
Coquetel,10000,1,2,49995000,149985000,0.083548
Seleção,10000,1,2,49995000,15000,0.020683
Inserção,10000,1,2,49995000,50014998,0.018421
Shellsort,10000,1,2,134551,234260,0.00013
Mergesort,10000,1,2,69008,267232,0.000163
Heapsort,10000,1,2,213394,350088,0.000477
Quicksort,10000,1,2,166180,43182,0.0001
Introsort,10000,1,2,219597,46021,0.000112
Contagem,10000,1,2,9999,20000,1.7e-05
Balde,10000,1,2,19999,40000,0.000291
Radixsort C.,10000,1,2,0,180000,0.000667
Radixsort B.,10000,1,2,0,180000,0.00125
Bolha,10000,1,3,49995000,149985000,0.084589
Coquetel,10000,1,3,49995000,149985000,0.083437
Seleção,10000,1,3,49995000,15000,0.020302
Inserção,10000,1,3,49995000,50014998,0.018418
Shellsort,10000,1,3,134551,234260,0.000127
Mergesort,10000,1,3,69008,267232,0.00016
Heapsort,10000,1,3,213394,350088,0.00048
Quicksort,10000,1,3,166180,43182,9.7e-05
Introsort,10000,1,3,219597,46021,0.000113
Contagem,10000,1,3,9999,20000,1.7e-05
Balde,10000,1,3,19999,40000,0.000311
Radixsort C.,10000,1,3,0,180000,0.000669
Radixsort B.,10000,1,3,0,180000,0.001266
Bolha,10000,2,1,49989114,75028857,0.072296
Coquetel,10000,2,1,37532472,75028857,0.070389
Seleção,10000,2,1,49995000,29970,0.023259
